route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"0-1-y12-1","1","4822.38.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4840.38.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4783.43.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4816.43.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4834.43.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4793.46.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4826.46.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4766.49.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4747.49.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4804.49.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4785.51.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4818.51.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4836.51.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4768.51.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4749.51.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4806.51.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4772.52.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4753.52.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4810.52.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4791.52.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4824.52.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4842.52.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4774.56.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4755.56.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4812.56.0-1-y12-1.4.I","0-1-y12-1.4.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4761.57.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4745.58.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4802.58.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4743.59.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4814.59.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4800.59.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4832.59.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4764.59.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4762.61.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-1-y12-1","1","4781.61.0-1-y12-1.5.I","0-1-y12-1.5.I","Simmonscourt View - Shanard Avenue","1"
"0-56A-y12-1","1","1849.845.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1847.848.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1863.848.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1865.850.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1851.850.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1867.851.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1853.851.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1869.851.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1855.851.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1857.852.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1873.852.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1859.852.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1845.853.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1861.853.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1871.842.0-56A-y12-1.67.I","0-56A-y12-1.67.I","The Square - Barrow Street","1"
"0-56A-y12-1","1","1862.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1848.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1864.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1850.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1866.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1852.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1868.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1854.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1870.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1856.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1872.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1858.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1874.862.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1860.863.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-56A-y12-1","1","1846.863.0-56A-y12-1.68.O","0-56A-y12-1.68.O","Barrow Street - The Square","0"
"0-75-y12-1","1","1062.988.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1029.988.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1041.988.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1052.988.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1071.992.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1018.992.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1078.992.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1010.992.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1031.994.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1073.994.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
