SSID,R-squared,MAPE,MdAPE,Row_Count,Outlier%_Cut,JPID_Count
70697443,0.320174824192,23.3532113225,17.7713389617,2493,1.3454689354966363,1
50262450,0.17016311157,25.5604220325,18.3931264113,4925,0.9851226377161239,6
15214546,0.0746560794852,3.83895251839,2.60811822362,2559,34.951703101169294,4
41154116,0.43182118263,1.69800530883,1.35550779479,521,33.7992376111817,2
23192464,0.182695142095,27.8053576165,19.5444319355,1769,0.16930022573363432,1
42784279,0.244155149039,23.636628446,16.3515868725,1010,0.0,3
50591266,0.234542711305,21.3035839175,17.9954835389,3530,0.02832058906825262,2
00725144,0.343327079435,16.445473923,13.7163643827,2472,5.141980046047583,2
13701371,0.297482113869,37.4374007624,37.9609548692,4340,1.3412139122527846,6
02510252,0.256656687065,26.2704566473,22.2317051376,2467,0.08100445524503848,1
34877415,0.498904445582,21.4237909131,18.4596239872,1008,1.2732615083251715,3
25732574,0.151643918152,31.0711299702,38.226710362,3484,0.6558311947533504,5
17020016,0.224215894116,26.7281900875,23.9650099401,2924,0.3747870528109029,2
00180019,0.144531387475,35.5932860694,28.6961162993,14609,0.9559322033898305,23
25184749,0.361157044438,18.5011814566,17.2236539899,2664,0.07501875468867217,2
21156011,0.333952421249,23.5328430313,21.9320376166,824,0.36275695284159615,4
70237014,0.532092615965,9.85358705776,7.34641883194,268,0.0,2
26052538,0.243759084628,23.1746508636,19.1133146223,4043,1.4623446258834998,3
36643813,0.374151601694,10.1424815898,7.86272664661,830,1.8912529550827424,4
47584759,0.363498856815,22.5886033091,18.5996517519,1693,0.0590318772136954,2
26022613,0.159633943247,26.0361358903,19.3283331765,2235,0.0,1
43164317,0.721699735894,3.70142117319,2.5715625498,126,16.556291390728475,1
00770078,0.275079444556,24.0807103134,22.6194667084,5456,1.9234226136976451,9
72144347,0.259425691232,19.0507379542,11.2490240652,999,0.49800796812749004,1
44981660,0.312754469257,31.0825020936,25.6840397762,2805,3.209109730848861,1
18571858,0.454688944191,24.0830280889,27.4541838575,307,0.0,2
25382607,0.999999996091,0.00206854299984,0.00192221806083,7,0.0,1
04850488,0.68435884473,11.878678995,6.26834516407,104,0.0,8
29102911,0.210055829929,28.8711152672,25.1635140632,1355,0.14738393515106854,1
09980999,0.193068621645,27.7284265143,20.6009704729,1857,0.10758472296933835,4
37483749,0.808643083304,6.22468117055,4.90129258296,157,1.2578616352201257,3
37773778,0.327100340542,23.5971729542,17.8134905029,1802,0.7709251101321586,6
49282352,0.359952081,28.3166587315,25.2019061805,3579,0.528071150639244,2
30993100,0.173209476666,12.9036003381,6.99862809931,1967,13.271604938271604,2
16894899,0.420402277212,29.616515327,26.7529905234,1260,0.07930214115781126,3
20173259,0.12467037395,34.9837971664,35.4978644909,4064,0.5140758873929009,4
28202822,0.215120610787,32.672959651,40.8054276659,2672,1.3658176448874124,7
28562857,0.0854911437475,23.2819374858,22.0328116694,4331,0.4367816091954023,5
27782185,0.183592093291,29.5088560209,27.7964722325,5071,0.3928501276762915,5
26482649,0.126221678354,8.21192749447,4.26953485573,2149,31.055502085338468,2
11950664,0.337958059997,30.7108721478,28.7462936291,2518,3.5987748851454824,1
23232324,0.228586101665,29.2606589667,22.2455811824,1933,0.20650490449148168,2
25342535,0.270232977755,35.177417363,36.745653864,1411,0.0708215297450425,4
47901220,0.34881029325,20.1512199786,18.420773093,582,0.0,1
10051006,0.14767971785,29.6676413601,24.9995331327,1894,0.0,4
16801681,0.195059155006,24.191284007,19.9204801759,2610,0.1148105625717566,2
45033599,0.264124035798,22.1836814037,16.2453944987,1519,0.91324200913242,1
