SSID,SSID_distance,max_sec,min_sec
00850086,293.2279769606943,52.78103163044245,16.240318324215234
00850203,304.48339836919706,54.807007321894886,16.863695494572255
00860087,259.98090302759715,46.79655880124278,14.398941967092963
00870088,196.02295783910066,35.28412958830775,10.856655859232507
00880089,272.6774651488042,49.08193980022956,15.102136159573496
00890027,414.7005664655956,74.64609599211953,22.968030808112232
00900091,225.48768076386588,40.58777929047351,12.488548165665232
00910092,164.97575579459954,29.695633667377223,9.137118557556441
00910129,530.0257529279028,95.40462789465226,29.355271747261774
00920093,279.1552117283357,50.2479340912657,15.460903653608657
00930094,415.99828002939546,74.87968441491643,23.03990417295349
00940102,346.80813135698247,62.42545865022015,19.207834494655412
00940126,340.24291442320083,61.243719696678575,18.844222488811802
01001111,252.30295224985696,45.41452777181203,13.973701626793268
01026239,230.12636163711568,41.42274178086148,12.745459715398168
01046241,310.2723203837985,55.84901320116267,17.184312705950376
01054365,214.91207034796014,38.68416956789926,11.902822064740635
01056253,154.70058130139418,27.84610240656276,8.568031984248737
01070108,334.2998887370292,60.17397515874725,18.515070305064505
01076125,350.52541785439007,63.0945701662246,19.41371497252093
01077092,698.7433596863049,125.7737946816313,38.699631276173655
01086125,44.17134580544007,7.950841608911883,2.446412938235747
01100112,404.7350621148882,72.85230535249545,22.416095196120697
01100124,652.6504785398976,117.47707673901542,36.14679484475015
01120113,432.19814550688363,77.79565996758626,23.93712746962119
01130114,104.01922899155007,18.723459720602232,5.761064848490408
01140115,388.34197989777795,69.90155078947596,21.50817066490658
01140128,331.5446050290926,59.67802413099474,18.362469980381253
01150037,290.09232411932544,52.21661416414945,16.06665140189122
01160117,146.29422408283997,26.332958228274535,8.102449134373927
01170118,275.83509566405996,49.650313247505736,15.277020306882822
01180119,317.6268477470752,57.172828020647295,17.591640365274557
01190044,247.53408332812498,44.55613143457198,13.70957966224496
01244686,137.14274049410596,24.68569131408377,7.595597748089617
01260989,360.682193576603,64.92278964996537,19.97624407559662
01266182,371.11977838460007,66.80155476510363,20.554325681502142
01270112,330.23280339596624,59.44189985592193,18.289816353258036
01280129,377.79177796439825,68.00251459339052,20.923851802979552
01290130,186.68690366495645,33.60363997140096,10.339582102315568
01300131,279.0340481016442,50.22612464020598,15.454193052910927
01310132,313.0454141235976,56.34817003439396,17.337899432374034
01310164,365.63137654469966,65.81364251295453,20.250352664005455
01327458,497.69628713811255,89.5853245180343,27.564716762979362
01330134,280.3216824526003,50.457898804836155,15.525508184439202
01344890,391.6797160947013,70.50234325685877,21.693029895878105
01360137,294.200611828059,52.95610589256214,16.294187330927887
01370193,159.40200751558095,28.692359057415846,8.828418660471101
01380133,450.4574352088,81.08233185099745,24.948411182064955
01380139,398.08315522719994,71.65496220849901,22.047681900640445
01380167,371.71752532370004,66.90914920553406,20.58743166500661
01390140,270.7729528923001,48.73912762148381,14.99665548334818
01400141,309.2558688374993,55.66605193746572,17.128016929387236
01410142,261.92556194460747,47.14659737830155,14.506646150614662
01420143,329.3690938749252,59.28643215457197,18.241980134808657
01430092,376.1325346044984,67.70385081250164,20.83195524992409
01430115,447.9143900817193,80.62458376474278,24.80756560926284
01460147,305.357899401452,54.96441749510796,16.912129396704927
01470184,372.9802890492525,67.13644665794972,20.65736934654643
01480149,322.896720712,58.12140507844759,17.883510245378208
01490150,285.7180141688,51.42923843604492,15.824381933671829
01500027,495.77959966480205,89.2403208004387,27.458561767070595
01510153,469.9546409391024,84.59182860169214,26.028256395931667
01530154,404.2204666011991,72.75967816744159,22.387594522217935
01540155,281.6734146920996,50.701210588481075,15.600373352784018
01550156,199.01934225840176,35.823478740634016,11.022609453754942
01567430,143.85061696079893,25.89310898149509,7.967110897099981
